#,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,repay_fail,loan_income_ratio,installment_income_ratio,int_rate_x_amount,Prob_Default,Decision,Real_Default
33958,715532,909174,5000.0,5000.0,4750.0,36 months,9.63,160.47,2 years,RENT,31100.0,Source Verified,mar-11,debt_consolidation,021xx,MA,24.15,0.0,Apr-06,0.0,,13.0,0.0,6039.0,36.20%,19.0,5708.944783,5423.5,5000.0,708.94,jun-13,1704.8,,oct-14,0,0.1607717041800643,0.0619176848874598,48150.00000000001,0.000307301689474777,Approve,0
23895,884640,1100088,4000.0,4000.0,4000.0,60 months,14.27,93.64,2 years,MORTGAGE,74004.0,Verified,sept-11,home_improvement,907xx,CA,13.25,0.0,Jan-01,1.0,75.0,9.0,0.0,627.0,41.80%,20.0,5232.92,5232.92,3630.49,1602.43,jun-16,93.64,jul-16,jun-16,0,0.05405113237122318,0.015184044105724015,57080.0,0.004121633560923931,Approve,0
26620,549369,708181,15000.0,15000.0,14975.0,60 months,11.49,329.82,10+ years,RENT,60000.0,Verified,jul-10,debt_consolidation,544xx,WI,20.36,0.0,sept-95,1.0,,8.0,0.0,13292.0,50.20%,15.0,19788.71002,19755.73,15000.0,4788.71,Aug-15,401.59,,jun-16,0,0.25,0.06596400000000001,172350.0,0.0006089944770432229,Approve,0
24994,505133,650767,12000.0,12000.0,11196.56473,36 months,10.25,388.62,1 year,RENT,48645.0,Not Verified,Apr-10,debt_consolidation,352xx,AL,13.64,0.0,mar-00,0.0,,10.0,0.0,13039.0,31%,17.0,13922.04177,12966.9,12000.0,1922.04,nov-12,2701.47,,nov-12,0,0.24668516805427074,0.0958667900092507,123000.0,2.0075751150840597e-05,Approve,0
14145,780642,983441,10000.0,10000.0,9975.0,36 months,16.11,352.12,7 years,MORTGAGE,45600.0,Verified,jun-11,other,937xx,CA,19.5,1.0,Apr-00,2.0,19.0,12.0,0.0,5753.0,70.40%,28.0,12631.54313,12599.96,10000.03,2631.51,feb-14,1719.49,,jun-16,0,0.21929824561403508,0.09266315789473685,161100.0,8.143649370613242e-05,Approve,0
21983,1067028,1301395,13250.0,13250.0,13250.0,36 months,10.65,431.6,4 years,RENT,35000.0,Not Verified,Dec-11,debt_consolidation,450xx,OH,24.93,0.0,oct-02,2.0,,11.0,0.0,13392.0,58.70%,25.0,15537.4,15537.4,13250.0,2287.4,Jan-15,437.68,,jun-16,0,0.37857142857142856,0.1479771428571429,141112.5,0.001212257998019479,Approve,0
7783,449554,552239,2400.0,2400.0,2400.0,36 months,12.18,79.92,3 years,RENT,45000.0,Not Verified,oct-09,other,432xx,OH,20.67,1.0,sept-02,1.0,16.0,9.0,0.0,563.0,4.50%,22.0,2877.11071,2877.11,2400.0,477.11,oct-12,83.08,,jun-16,0,0.05333333333333334,0.021311999999999998,29232.0,3.208355780949391e-05,Approve,0
31192,681304,870297,15000.0,15000.0,15000.0,60 months,14.17,350.35,9 years,OWN,48000.0,Source Verified,feb-11,debt_consolidation,104xx,NY,26.63,0.0,mar-04,2.0,,14.0,0.0,7213.0,27.70%,25.0,4553.57,4553.57,2412.93,2130.96,Apr-12,350.35,,jun-16,1,0.3125,0.08758750000000001,212550.0,0.9999998259030883,Reject,1
16431,1057038,1288592,25000.0,25000.0,24975.0,60 months,12.69,564.87,2 years,RENT,65000.0,Verified,Dec-11,debt_consolidation,222xx,VA,18.02,0.0,Dec-99,4.0,,8.0,0.0,26417.0,50.70%,19.0,28616.90009,28588.28,25000.0,3616.9,mar-13,20718.48,,Apr-13,0,0.38461538461538464,0.10428369230769231,317250.0,5.205493762898715e-06,Approve,0
20441,837055,1047157,7100.0,7100.0,7100.0,36 months,7.49,220.83,2 years,OWN,26000.0,Not Verified,Aug-11,debt_consolidation,337xx,FL,27.18,0.0,sept-96,2.0,,5.0,0.0,15898.0,25.30%,14.0,3269.67,3269.67,2717.7,551.97,Dec-12,247.14,,jun-16,1,0.27307692307692305,0.10192153846153847,53179.0,0.9999719756420529,Reject,1
7009,768279,969509,6000.0,6000.0,6000.0,36 months,7.49,186.61,5 years,RENT,60000.0,Source Verified,jun-11,car,295xx,SC,18.98,0.0,Jan-00,0.0,42.0,10.0,0.0,5849.0,32.10%,24.0,6566.091266,6566.09,6000.0,566.09,feb-13,3034.7,,jun-16,0,0.1,0.037322,44940.0,7.723397252136094e-05,Approve,0
27706,824696,1033433,5700.0,5700.0,5700.0,36 months,9.99,183.9,< 1 year,RENT,53000.0,Not Verified,jul-11,small_business,940xx,CA,10.01,0.0,Dec-98,1.0,57.0,7.0,0.0,12313.0,56%,24.0,6466.834576,6466.83,5700.0,766.83,jun-13,2615.37,,jun-13,0,0.10754716981132076,0.041637735849056605,56943.0,0.00037027124204698926,Approve,0
4825,441132,534913,7500.0,7500.0,7500.0,36 months,12.18,249.75,3 years,RENT,80000.0,Not Verified,oct-09,wedding,100xx,NY,2.77,0.0,oct-99,2.0,37.0,4.0,0.0,653.0,19.80%,12.0,7651.27,7651.27,7500.0,151.27,Dec-09,7402.72,,Jan-12,0,0.09375,0.0374625,91350.0,7.908854298232285e-06,Approve,0
23620,474634,600477,4000.0,4000.0,4000.0,36 months,13.92,136.55,4 years,RENT,31609.52,Verified,Jan-10,other,900xx,CA,17.77,0.0,Aug-05,1.0,,12.0,0.0,8768.0,61.70%,20.0,4910.428383,4910.43,4000.0,910.43,Jan-13,188.39,,Jan-16,0,0.1265441550520223,0.05183881311706094,55680.0,0.00019574018108371128,Approve,0
35545,474397,600061,12000.0,12000.0,11875.0,36 months,12.87,403.6,< 1 year,RENT,40000.0,Not Verified,Jan-10,debt_consolidation,535xx,WI,19.32,0.0,oct-02,2.0,,12.0,0.0,10602.0,60.60%,24.0,403.34,399.14,274.68,128.66,feb-10,403.6,,jun-16,1,0.3,0.12108000000000002,154440.0,0.9999957829513073,Reject,1
131,676647,864656,5000.0,5000.0,5000.0,60 months,7.29,99.7,8 years,MORTGAGE,61200.0,Not Verified,feb-11,car,151xx,PA,4.92,0.0,jun-90,0.0,24.0,12.0,0.0,8486.0,10.80%,28.0,5981.389324,5981.39,5000.0,981.39,mar-16,99.08,,mar-16,0,0.08169934640522876,0.019549019607843138,36450.0,0.00014549025342620476,Approve,0
28126,474679,600542,3000.0,3000.0,3000.0,36 months,12.18,99.9,2 years,RENT,73000.0,Not Verified,Jan-10,other,773xx,TX,21.11,0.0,jun-95,0.0,25.0,8.0,0.0,15421.0,67.60%,24.0,3596.527577,3596.53,3000.0,596.53,Jan-13,102.76,,feb-13,0,0.0410958904109589,0.01642191780821918,36540.0,0.00014680738739908017,Approve,0
8154,415071,482263,16000.0,16000.0,13300.39597,36 months,12.84,537.89,10+ years,MORTGAGE,80000.0,Not Verified,jun-09,debt_consolidation,258xx,WV,17.16,0.0,may-94,2.0,,6.0,1.0,19306.0,70.20%,14.0,19391.06438,15798.81,16000.0,3364.18,jun-12,543.69,,oct-15,0,0.2,0.0806835,205440.0,1.1068829015840826e-05,Approve,0
6715,660862,829072,24250.0,24250.0,24250.0,60 months,12.61,546.94,< 1 year,MORTGAGE,54000.0,Verified,Jan-11,home_improvement,327xx,FL,16.71,0.0,jun-01,0.0,82.0,7.0,0.0,3443.0,14.20%,22.0,3278.82,3278.82,1797.83,1480.99,Aug-11,546.94,,jun-16,1,0.44907407407407407,0.12154222222222223,305792.5,0.9999997693797468,Reject,1
19329,1069073,1303718,15000.0,15000.0,15000.0,36 months,14.65,517.42,2 years,OWN,61000.0,Verified,Dec-11,credit_card,325xx,FL,11.88,0.0,jun-04,1.0,,8.0,0.0,19397.0,79.50%,18.0,18565.14804,18565.15,15000.0,3565.15,sept-14,2533.38,,jun-16,0,0.2459016393442623,0.10178754098360654,219750.0,0.0007917114821231415,Approve,0
33631,733384,929745,35000.0,35000.0,35000.0,36 months,13.06,1180.31,4 years,RENT,170000.0,Verified,Apr-11,debt_consolidation,061xx,CT,8.37,0.0,may-73,0.0,50.0,11.0,0.0,14772.0,39.50%,23.0,42490.72577,42490.73,35000.0,7490.73,may-14,1207.13,,jun-16,0,0.20588235294117646,0.083316,457100.0,0.00023615866664950972,Approve,0
21680,568327,731135,8000.0,8000.0,8000.0,36 months,16.45,283.04,1 year,RENT,96000.0,Verified,sept-10,small_business,300xx,GA,0.25,1.0,mar-07,1.0,17.0,7.0,0.0,1374.0,12.90%,8.0,8716.610096,8716.61,8000.0,716.61,Apr-11,7023.79,,Apr-11,0,0.08333333333333333,0.03538,131600.0,5.942061497878346e-06,Approve,0
1507,577795,742963,2000.0,2000.0,2000.0,36 months,15.21,69.54,4 years,RENT,48000.0,Verified,sept-10,renewable_energy,333xx,FL,7.88,0.0,Jan-90,5.0,,8.0,1.0,9826.0,92.70%,19.0,2438.434329,2438.43,2000.0,438.43,sept-12,847.32,oct-12,jun-16,0,0.041666666666666664,0.017385,30420.0,0.001570207908298022,Approve,0
9765,498196,638864,5500.0,5500.0,5500.0,36 months,13.11,185.6,1 year,RENT,34000.0,Source Verified,Apr-10,other,260xx,WV,20.89,0.0,Aug-04,0.0,,5.0,0.0,1789.0,89.40%,10.0,6681.75021,6681.75,5500.0,1181.75,Apr-13,195.49,,jun-16,0,0.16176470588235295,0.06550588235294118,72105.0,9.256813162830213e-05,Approve,0
24828,785543,988853,10000.0,10000.0,9750.0,36 months,11.99,332.1,1 year,MORTGAGE,73000.0,Verified,jul-11,debt_consolidation,902xx,CA,20.75,0.0,Aug-01,0.0,,9.0,0.0,21984.0,82.30%,25.0,11840.3432,11544.33,10000.0,1840.34,nov-13,2876.09,,jun-16,0,0.136986301369863,0.05459178082191781,119900.0,0.0004666231478374108,Approve,0
38213,1002419,1228477,3000.0,3000.0,2750.0,36 months,8.9,95.26,10+ years,RENT,62000.0,Not Verified,oct-11,credit_card,230xx,VA,16.05,0.0,Jan-93,0.0,,16.0,0.0,16753.0,36.10%,17.0,3429.34502,3143.57,3000.0,429.35,nov-14,101.63,,jun-16,0,0.04838709677419355,0.01843741935483871,26700.0,0.0018589123620975957,Approve,0
2242,501416,625480,14000.0,14000.0,13630.9138,36 months,12.73,469.93,< 1 year,RENT,60000.0,Verified,Apr-10,credit_card,432xx,OH,22.72,0.0,oct-02,1.0,,19.0,0.0,21299.0,53.50%,28.0,15550.08281,15135.12,14000.0,1550.08,jul-11,65.75,,jul-11,0,0.23333333333333334,0.093986,178220.0,4.747169831989441e-05,Approve,0
6270,720064,914473,12000.0,12000.0,12000.0,36 months,10.37,389.3,4 years,RENT,75000.0,Source Verified,Apr-11,small_business,303xx,GA,16.46,3.0,oct-03,0.0,12.0,8.0,0.0,3814.0,25.40%,23.0,13219.26087,13219.26,12000.0,1219.26,jun-12,8162.23,,jul-12,0,0.16,0.062288,124439.99999999999,1.911552376570656e-06,Approve,0
22271,1030260,1259665,17000.0,17000.0,16975.0,36 months,12.42,568.06,< 1 year,MORTGAGE,76788.0,Verified,Dec-11,home_improvement,856xx,AZ,10.06,0.0,Dec-94,3.0,65.0,7.0,0.0,3033.0,28.10%,33.0,18959.8184,18931.94,17000.0,1959.82,Jan-13,12151.67,,feb-13,0,0.22138875866020732,0.08877324581965931,211140.0,6.2458462939841215e-06,Approve,0
24476,530709,686231,12000.0,12000.0,11938.55637,36 months,7.88,375.38,5 years,RENT,69000.0,Not Verified,jun-10,debt_consolidation,917xx,CA,12.23,0.0,oct-96,0.0,,12.0,0.0,12541.0,51.60%,32.0,13263.39384,13188.39,12000.0,1263.39,may-12,5390.95,,may-15,0,0.17391304347826086,0.06528347826086955,94560.0,1.7319698611549667e-05,Approve,0
8144,834290,1044119,6375.0,6375.0,6375.0,36 months,5.99,193.92,6 years,MORTGAGE,75000.0,Not Verified,Aug-11,debt_consolidation,333xx,FL,29.92,0.0,oct-94,0.0,,17.0,0.0,10183.0,12.80%,55.0,6438.23,6438.23,6375.0,63.23,oct-11,6244.92,,jun-16,0,0.085,0.031027199999999998,38186.25,0.00010006334302789996,Approve,0
13264,981611,1204773,15000.0,15000.0,14750.0,36 months,7.9,469.36,10+ years,MORTGAGE,126000.0,Verified,nov-11,debt_consolidation,750xx,TX,16.36,0.0,sept-86,0.0,67.0,10.0,0.0,36097.0,76.30%,22.0,16896.31001,16614.7,15000.0,1896.31,oct-14,953.18,,jun-16,0,0.11904761904761904,0.044700952380952376,118500.0,0.00011639257414692672,Approve,0
19337,590959,759044,8000.0,8000.0,7950.0,60 months,13.23,182.97,2 years,RENT,45000.0,Source Verified,oct-10,wedding,921xx,CA,15.01,0.0,sept-01,2.0,,3.0,0.0,228.0,45.60%,9.0,10338.65397,10274.04,8000.0,2338.65,Aug-13,4311.95,,jun-16,0,0.17777777777777778,0.048791999999999995,105840.0,0.0012068066077420645,Approve,0
16155,868540,1082272,35000.0,23375.0,23325.0,60 months,12.99,531.74,4 years,MORTGAGE,155000.0,Verified,sept-11,debt_consolidation,300xx,GA,18.84,0.0,Aug-93,0.0,,22.0,0.0,47812.0,48.80%,44.0,30487.12997,30421.92,23375.0,7112.13,Apr-15,555.04,,Apr-15,0,0.22580645161290322,0.041166967741935484,454650.0,0.004106902836695783,Approve,0
6989,840015,1050316,14675.0,14675.0,14650.0,60 months,11.49,322.67,1 year,RENT,28000.0,Verified,Aug-11,debt_consolidation,916xx,CA,23.1,0.0,jun-05,0.0,,7.0,0.0,11091.0,66.80%,10.0,2375.29,2371.28,923.65,681.45,Jan-12,322.67,,jun-12,1,0.5241071428571429,0.13828714285714286,168615.75,0.9999985688722945,Reject,1
17904,787748,991333,6000.0,6000.0,5950.0,36 months,6.99,185.24,9 years,RENT,65000.0,Verified,jun-11,debt_consolidation,941xx,CA,28.45,0.0,jun-98,0.0,,7.0,0.0,13041.0,42.90%,13.0,6668.446349,6612.88,6000.0,668.45,jul-14,195.21,,sept-15,0,0.09230769230769231,0.03419815384615385,41940.0,0.00011649092880406254,Approve,0
26573,412846,454969,4400.0,4400.0,3999.03,36 months,11.89,145.93,10+ years,OWN,42000.0,Source Verified,jun-09,credit_card,604xx,IL,14.09,0.0,nov-01,2.0,56.0,9.0,0.0,2759.0,14.60%,15.0,4042.39,3511.83,2946.41,830.5,oct-11,150.0,,mar-12,1,0.10476190476190476,0.04169428571428572,52316.0,0.9991006323745694,Reject,1
1980,148660,148648,7000.0,7000.0,2424.995938,36 months,14.38,240.54,10+ years,RENT,30000.0,Not Verified,nov-07,debt_consolidation,473xx,IN,4.04,0.0,Aug-06,2.0,0.0,5.0,0.0,2288.0,53.20%,5.0,2401.96,831.16,1651.44,750.52,sept-08,240.54,nov-09,jun-16,1,0.23333333333333334,0.096216,100660.0,0.9999763024528441,Reject,1
29996,124049,123034,2500.0,2500.0,1100.0,36 months,10.28,81.0,1 year,RENT,10920.0,Not Verified,sept-07,credit_card,671xx,KS,7.14,0.0,oct-96,1.0,0.0,1.0,0.0,0.0,0%,5.0,2915.716834,1282.92,2500.0,415.72,sept-10,83.16,oct-10,sept-10,0,0.22893772893772893,0.08901098901098901,25700.0,9.840054050599099e-05,Approve,0
258,846333,1057715,7500.0,7500.0,7500.0,60 months,14.79,177.6,7 years,RENT,25000.0,Verified,Aug-11,credit_card,891xx,NV,14.69,0.0,Dec-99,1.0,,11.0,0.0,6595.0,44.90%,20.0,7390.84,7390.84,4223.03,2688.37,nov-14,177.6,,Apr-15,1,0.3,0.08524799999999999,110925.0,0.9999403333113576,Reject,1
24027,878643,1093407,35000.0,35000.0,35000.0,36 months,10.59,1139.08,10+ years,OWN,300000.0,Source Verified,sept-11,debt_consolidation,117xx,NY,10.28,0.0,Apr-88,1.0,,16.0,0.0,45211.0,53.10%,45.0,40855.62978,40855.63,35000.0,5855.63,jul-14,2930.84,,jun-16,0,0.11666666666666667,0.0455632,370650.0,0.00014680637051983557,Approve,0
4488,802988,1008708,1000.0,1000.0,1000.0,36 months,10.59,32.55,,MORTGAGE,38000.0,Not Verified,jul-11,medical,171xx,PA,27.47,0.0,Jan-94,1.0,,8.0,0.0,58794.0,97.20%,36.0,162.05,162.05,120.22,41.83,Dec-11,32.55,,jun-16,1,0.02631578947368421,0.010278947368421052,10590.0,0.9999637081241713,Reject,1
7871,598009,767564,25000.0,25000.0,23664.71525,60 months,13.23,571.78,10+ years,MORTGAGE,175000.0,Verified,oct-10,credit_card,775xx,TX,13.15,0.0,Aug-88,0.0,,12.0,0.0,13589.0,55.10%,46.0,34306.34738,31899.37,25000.0,9306.35,nov-15,571.32,,oct-15,0,0.14285714285714285,0.039207771428571424,330750.0,0.00019132688434629917,Approve,0
4348,403526,448974,12000.0,12000.0,9202.846434,36 months,11.58,396.17,1 year,RENT,50500.0,Verified,may-09,debt_consolidation,852xx,AZ,17.8,0.0,mar-00,1.0,,9.0,0.0,6908.0,51.90%,19.0,14239.18422,10614.3,11999.99,2239.19,mar-12,1573.23,,nov-15,0,0.2376237623762376,0.09413940594059406,138960.0,3.373679092398574e-05,Approve,0
31719,794397,999017,7500.0,7500.0,7250.0,36 months,11.49,247.29,5 years,MORTGAGE,45500.0,Not Verified,jun-11,credit_card,142xx,NY,18.78,0.0,feb-97,0.0,,16.0,0.0,10933.0,78.10%,33.0,6097.68,5893.79,4636.03,1278.77,sept-13,247.29,,Dec-13,1,0.16483516483516483,0.06521934065934067,86175.0,0.9998657633878906,Reject,1
21904,691545,882135,3000.0,3000.0,3000.0,60 months,10.74,64.84,9 years,MORTGAGE,49992.0,Source Verified,mar-11,car,727xx,AR,18.39,0.0,jul-95,0.0,,13.0,1.0,16525.0,61%,23.0,3889.209999,3889.21,3000.0,889.21,Jan-16,193.33,,feb-16,0,0.0600096015362458,0.01556409025444071,32220.0,0.00015290730091319638,Approve,0
15576,582765,748889,4000.0,4000.0,4000.0,36 months,10.75,130.49,10+ years,RENT,27000.0,Not Verified,sept-10,educational,852xx,AZ,6.04,0.0,may-01,0.0,,4.0,0.0,3921.0,49%,5.0,4697.590711,4697.59,4000.0,697.59,oct-13,141.72,,oct-13,0,0.14814814814814814,0.05799555555555556,43000.0,7.4488698566236e-05,Approve,0
24818,574343,738830,12000.0,12000.0,11950.0,60 months,17.56,301.86,4 years,RENT,42996.0,Verified,sept-10,debt_consolidation,021xx,MA,14.99,0.0,sept-05,0.0,,8.0,0.0,14050.0,81.20%,14.0,3694.45,3679.03,1243.15,1966.36,sept-11,167.25,,Jan-12,1,0.27909572983533354,0.08424783700809378,210719.99999999997,0.9999989087097935,Reject,1
24890,792042,996431,30000.0,30000.0,30000.0,60 months,13.99,697.9,9 years,MORTGAGE,399996.0,Source Verified,jun-11,debt_consolidation,070xx,NJ,26.88,0.0,Apr-79,1.0,,19.0,0.0,42721.0,26.70%,35.0,36680.71123,36680.71,30000.0,6680.71,may-13,22029.15,,jun-16,0,0.07500075000750007,0.02093720937209372,419700.0,9.061005776776717e-07,Approve,0
32264,505852,652063,11000.0,11000.0,10269.76998,36 months,7.51,342.21,2 years,RENT,47900.0,Verified,Apr-10,other,606xx,IL,12.88,0.0,nov-95,2.0,,11.0,0.0,10922.0,24.70%,23.0,12319.71039,11486.28,11000.0,1319.71,may-13,383.09,,Apr-15,0,0.22964509394572025,0.08573110647181627,82610.0,8.618184236126537e-05,Approve,0
5239,523084,676746,7000.0,7000.0,6956.654832,36 months,13.61,237.92,1 year,RENT,33000.0,Not Verified,jun-10,other,787xx,TX,11.71,2.0,feb-03,0.0,19.0,12.0,0.0,2613.0,54.40%,29.0,8387.921719,8326.28,7000.0,1387.92,sept-12,473.5,,Dec-15,0,0.21212121212121213,0.08651636363636364,95270.0,2.3205087854585866e-05,Approve,0
33110,386188,418319,9500.0,9500.0,9450.0,36 months,16.35,335.63,4 years,RENT,64000.0,Not Verified,Aug-09,small_business,982xx,WA,9.51,0.0,feb-97,1.0,35.0,11.0,0.0,17105.0,38.80%,26.0,11311.12957,11251.6,9500.0,1794.35,mar-11,13.92,,feb-11,0,0.1484375,0.062930625,155325.0,0.0003156608805244071,Approve,0
2403,622629,797965,9125.0,9125.0,9100.0,36 months,5.79,276.74,< 1 year,MORTGAGE,45000.0,Verified,feb-11,debt_consolidation,301xx,GA,16.51,0.0,oct-96,1.0,,12.0,0.0,6661.0,7.70%,31.0,9962.355802,9935.06,9125.0,837.36,mar-14,320.81,,Apr-15,0,0.20277777777777778,0.07379733333333334,52833.75,4.3196671500131044e-05,Approve,0
35572,869165,1082981,9000.0,9000.0,9000.0,36 months,5.42,271.44,10+ years,RENT,59520.0,Source Verified,sept-11,debt_consolidation,950xx,CA,14.52,0.0,oct-96,0.0,,11.0,0.0,7059.0,19.40%,32.0,9746.343964,9746.34,9000.0,746.34,mar-14,1892.72,,Apr-14,0,0.15120967741935484,0.0547258064516129,48780.0,0.00032029270162011234,Approve,0
