customerID;Churn_Probability;Decision 
6910-HADCM;0.75;Ofrecer Descuento
7401-JIXNM;0.02;No llamar
7338-ERIVA;0.04;No llamar
5376-DEQCP;0.81;Llamar
0909-SELIE;0.02;No llamar
5419-KLXBN;0.34;No llamar
0365-TRTPY;0.19;No llamar
6712-OAWRH;0.61;Ofrecer Descuento
2428-ZMCTB;0.11;No llamar
1963-VAUKV;0.19;No llamar
9381-NDKME;0.41;No llamar
3729-OWRVL;0.11;No llamar
0895-LMRSF;0.17;No llamar
2676-SSLTO;0.04;No llamar
8495-PRWFH;0.18;No llamar
9030-QGZNL;0.03;No llamar
9972-NKTFD;0.08;No llamar
7998-WNZEM;0.01;No llamar
0979-PHULV;0.32;No llamar
6445-TNRXS;0.05;No llamar
9586-JGQKH;0.09;No llamar
3966-HRMZA;0.61;Ofrecer Descuento
5498-IBWPI;0.02;No llamar
6823-SIDFQ;0.03;No llamar
2323-ARSVR;0.06;No llamar
5468-BPMMO;0.05;No llamar
0486-HECZI;0.33;No llamar
2178-PMGCJ;0.40;No llamar
4660-IRIBM;0.39;No llamar
9674-EHPPG;0.02;No llamar
5606-AMZBO;0.49;No llamar
0665-XHDJU;0.13;No llamar
5402-HTOTQ;0.28;No llamar
8258-GSTJK;0.78;Ofrecer Descuento
3787-TRIAL;0.35;No llamar
6175-IRFIT;0.50;No llamar
6317-YPKDH;0.45;No llamar
5692-FPTAH;0.49;No llamar
5373-SFODM;0.48;No llamar
0868-VJRDR;0.04;No llamar
4079-VTGLK;0.13;No llamar
1166-PQLGG;0.00;No llamar
5296-BFCYD;0.01;No llamar
6568-POCUI;0.09;No llamar
2839-RFSQE;0.17;No llamar
2188-SXWVT;0.03;No llamar
8849-GYOKR;0.14;No llamar
3623-FQBOX;0.12;No llamar
2649-HWLYB;0.01;No llamar
0599-XNYDO;0.35;No llamar
2514-GINMM;0.86;Llamar
8401-EMUWF;0.12;No llamar
5766-ZJYBB;0.20;No llamar
2604-IJPDU;0.35;No llamar
2501-XWWTZ;0.47;No llamar
6370-ZVHDV;0.01;No llamar
3027-YNWZU;0.01;No llamar
4526-ZJJTM;0.36;No llamar
0440-QEXBZ;0.17;No llamar
0330-IVZHA;0.58;No llamar
9758-MFWGD;0.05;No llamar
4229-CZMLL;0.68;Ofrecer Descuento
0742-MOABM;0.26;No llamar
4277-BWBML;0.00;No llamar
5136-GFPMB;0.27;No llamar
7520-HQWJU;0.05;No llamar
6304-IJFSQ;0.40;No llamar
0297-RBCSG;0.10;No llamar
6013-BHCAW;0.03;No llamar
4402-FTBXC;0.17;No llamar
1471-GIQKQ;0.46;No llamar
4283-FUTGF;0.63;Ofrecer Descuento
9548-LERKT;0.02;No llamar
8059-UDZFY;0.49;No llamar
0410-IPFTY;0.35;No llamar
2478-EEWWM;0.27;No llamar
4619-EVPHY;0.38;No llamar
2277-DJJDL;0.46;No llamar
2911-WDXMV;0.45;No llamar
3639-XJHKQ;0.13;No llamar
8173-RXAYP;0.01;No llamar
4537-CIBHB;0.05;No llamar
5442-BXVND;0.06;No llamar
2308-STERM;0.14;No llamar
7159-NOKYQ;0.11;No llamar
6075-QMNRR;0.07;No llamar
3694-GLTJM;0.19;No llamar
9629-NHXFW;0.23;No llamar
7167-PCEYD;0.01;No llamar
2748-MYRVK;0.16;No llamar
4223-WOZCM;0.37;No llamar
6946-LMSQS;0.40;No llamar
5469-NUJUR;0.03;No llamar
6388-TABGU;0.01;No llamar
1261-FWTTE;0.42;No llamar
8590-YFFQO;0.00;No llamar
0082-OQIQY;0.52;No llamar
9465-RWMXL;0.53;No llamar
2930-UOTMB;0.09;No llamar
9128-CPXKI;0.09;No llamar
0484-FFVBJ;0.15;No llamar
1100-DDVRV;0.47;No llamar
9313-QOLTZ;0.07;No llamar
3338-CVVEH;0.66;Ofrecer Descuento
1131-SUEKT;0.10;No llamar
7602-DBTOU;0.00;No llamar
1385-TQOZW;0.17;No llamar
6892-XPFPU;0.71;Ofrecer Descuento
4115-NZRKS;0.79;Ofrecer Descuento
5514-YQENT;0.07;No llamar
6319-IEJWJ;0.58;No llamar
8849-AYPTR;0.46;No llamar
5893-PYOLZ;0.03;No llamar
7180-PISOG;0.85;Llamar
8443-ZRDBZ;0.72;Ofrecer Descuento
9079-YEXQJ;0.33;No llamar
3780-YVMFA;0.39;No llamar
6968-MHOMU;0.11;No llamar
0899-LIIBW;0.53;No llamar
3677-IYRBF;0.61;Ofrecer Descuento
8393-DLHGA;0.48;No llamar
7691-XVTZH;0.09;No llamar
5360-LJCNJ;0.10;No llamar
3891-PUQOD;0.55;No llamar
0952-KMEEH;0.53;No llamar
4919-IKATY;0.56;No llamar
9746-UGFAC;0.04;No llamar
9108-EQPNQ;0.04;No llamar
0531-ZZJWQ;0.40;No llamar
8763-KIAFH;0.04;No llamar
5863-OOKCL;0.13;No llamar
2958-NHPPS;0.10;No llamar
9530-GRMJG;0.03;No llamar
1809-DMJHQ;0.23;No llamar
0164-XAIRP;0.02;No llamar
2926-JEJJC;0.09;No llamar
1169-WCVAK;0.30;No llamar
1217-VASWC;0.26;No llamar
2452-KDRRH;0.40;No llamar
6402-EJMWF;0.41;No llamar
7663-CUXZB;0.08;No llamar
4312-KFRXN;0.01;No llamar
3011-WQKSZ;0.14;No llamar
9747-DDZOS;0.69;Ofrecer Descuento
2091-MJTFX;0.19;No llamar
0388-EOPEX;0.69;Ofrecer Descuento
3161-ONRWK;0.02;No llamar
2587-EKXTS;0.45;No llamar
9752-ZNQUT;0.55;No llamar
9572-WUKSB;0.52;No llamar
3836-FZSDJ;0.01;No llamar
8805-JNRAZ;0.30;No llamar
3069-SSVSN;0.31;No llamar
8015-IHCGW;0.06;No llamar
8132-YPVBX;0.57;No llamar
0235-KGSLC;0.82;Llamar
1302-UHBDD;0.62;Ofrecer Descuento
3722-WPXTK;0.91;Llamar
7531-GQHME;0.10;No llamar
1335-NTIUC;0.54;No llamar
9367-TCUYN;0.11;No llamar
1536-HBSWP;0.51;No llamar
8573-JGCZW;0.06;No llamar
2694-CIUMO;0.45;No llamar
2027-FECZV;0.73;Ofrecer Descuento
9103-TCIHJ;0.22;No llamar
1545-JFUML;0.08;No llamar
0524-IAVZO;0.57;No llamar
5519-TEEUH;0.03;No llamar
6654-QGBZZ;0.19;No llamar
2294-DMMUS;0.16;No llamar
0017-IUDMW;0.04;No llamar
5018-LXQQG;0.07;No llamar
5808-TOTXO;0.09;No llamar
1174-FGIFN;0.29;No llamar
0730-KOAVE;0.39;No llamar
1218-VKFPE;0.09;No llamar
5313-FPXWG;0.03;No llamar
2834-JKOOW;0.07;No llamar
9430-NKQLY;0.01;No llamar
0363-QJVFX;0.35;No llamar
1658-TJVOA;0.56;No llamar
6685-GBWJZ;0.02;No llamar
6328-ZPBGN;0.74;Ofrecer Descuento
4003-FUSHP;0.22;No llamar
7690-KPNCU;0.04;No llamar
2969-WGHQO;0.13;No llamar
1855-CFULU;0.16;No llamar
9788-YTFGE;0.18;No llamar
8266-VBFQL;0.67;Ofrecer Descuento
2325-NBPZG;0.59;No llamar
9906-NHHVC;0.05;No llamar
2541-YGPKE;0.02;No llamar
5049-MUBWG;0.07;No llamar
2332-TODQS;0.02;No llamar
4419-UJMUS;0.10;No llamar
2233-TXSIU;0.11;No llamar
6770-XUAGN;0.29;No llamar
2919-HBCJO;0.49;No llamar
9508-ILZDG;0.48;No llamar
5442-BHQNG;0.66;Ofrecer Descuento
7250-EQKIY;0.37;No llamar
6838-HVLXG;0.11;No llamar
9767-FFLEM;0.28;No llamar
2245-ADZFJ;0.04;No llamar
1150-WFARN;0.06;No llamar
9054-FOWNV;0.61;Ofrecer Descuento
7997-EASSD;0.10;No llamar
7560-QJAVJ;0.01;No llamar
2668-TZSPS;0.20;No llamar
9139-WQQDY;0.17;No llamar
6726-NNFWD;0.04;No llamar
9330-DHBFL;0.04;No llamar
5727-MYATE;0.02;No llamar
2824-DXNKN;0.02;No llamar
6166-ILMNY;0.56;No llamar
5236-XMZJY;0.05;No llamar
1709-EJDOX;0.01;No llamar
4962-CHQPW;0.03;No llamar
0301-FIDRB;0.02;No llamar
1820-TQVEV;0.81;Llamar
9115-YQHGA;0.13;No llamar
1541-ETJZO;0.46;No llamar
6230-BSUXY;0.89;Llamar
6797-LNAQX;0.06;No llamar
9588-YRFHY;0.01;No llamar
1092-GANHU;0.49;No llamar
5951-AOFIH;0.16;No llamar
7029-RPUAV;0.71;Ofrecer Descuento
4700-UBQMV;0.16;No llamar
3594-UVONA;0.09;No llamar
7750-EYXWZ;0.24;No llamar
7054-ENNGU;0.20;No llamar
0402-OAMEN;0.00;No llamar
2195-VVRJF;0.26;No llamar
8819-ZBYNA;0.07;No llamar
7748-UMTRK;0.56;No llamar
1741-WTPON;0.04;No llamar
7209-JCUDS;0.63;Ofrecer Descuento
2485-ITVKB;0.71;Ofrecer Descuento
9648-BCHKM;0.03;No llamar
0743-HRVFF;0.12;No llamar
2522-AHJXR;0.28;No llamar
9143-CANJF;0.09;No llamar
1444-VVSGW;0.09;No llamar
6898-MDLZW;0.19;No llamar
0074-HDKDG;0.05;No llamar
3982-JGSFD;0.03;No llamar
7928-VJYAB;0.54;No llamar
1522-VVDMG;0.53;No llamar
2665-NPTGL;0.65;Ofrecer Descuento
8728-SKJLR;0.27;No llamar
7733-UDMTP;0.29;No llamar
0431-APWVY;0.25;No llamar
5081-NWSUP;0.09;No llamar
2746-DIJLO;0.07;No llamar
7277-OZCGZ;0.39;No llamar
5236-PERKL;0.09;No llamar
2788-CJQAQ;0.05;No llamar
3096-WPXBT;0.11;No llamar
9962-BFPDU;0.17;No llamar
2892-GESUL;0.02;No llamar
9741-YLNTD;0.63;Ofrecer Descuento
1205-WNWPJ;0.31;No llamar
3173-NVMPX;0.30;No llamar
9661-MHUMO;0.41;No llamar
6000-APYLU;0.65;Ofrecer Descuento
0048-PIHNL;0.02;No llamar
9420-LOJKX;0.45;No llamar
7061-OVMIM;0.02;No llamar
5671-RQRLP;0.06;No llamar
5129-JLPIS;0.40;No llamar
5170-PTRKA;0.03;No llamar
4819-HJPIW;0.26;No llamar
8780-RSYYU;0.09;No llamar
2335-GSODA;0.03;No llamar
5696-CEIQJ;0.04;No llamar
6169-PPETC;0.01;No llamar
4237-RLAQD;0.50;No llamar
7359-WWYJV;0.04;No llamar
8620-RJPZN;0.25;No llamar
7426-WEIJX;0.24;No llamar
7629-WIXZF;0.25;No llamar
2616-FLVQC;0.00;No llamar
9163-GHAYE;0.22;No llamar
4464-JCOLN;0.08;No llamar
2971-SGAFL;0.48;No llamar
4735-ASGMA;0.69;Ofrecer Descuento
5245-VDBUR;0.04;No llamar
1493-AMTIE;0.26;No llamar
1112-CUNAO;0.55;No llamar
7571-YXDAD;0.67;Ofrecer Descuento
8714-EUHJO;0.45;No llamar
9040-KZVWO;0.13;No llamar
6713-OKOMC;0.25;No llamar
8749-CLJXC;0.20;No llamar
4713-LZDRV;0.76;Ofrecer Descuento
6598-RFFVI;0.10;No llamar
7470-MCQTK;0.54;No llamar
5524-KHNJP;0.06;No llamar
1707-HABPF;0.18;No llamar
4581-LNWUM;0.51;No llamar
9710-ZUSHQ;0.41;No llamar
1697-LYYYX;0.01;No llamar
4013-GUXND;0.20;No llamar
5022-JNQEQ;0.47;No llamar
4983-CCWMC;0.62;Ofrecer Descuento
6345-FZOQH;0.00;No llamar
0962-CQPWQ;0.00;No llamar
5495-GPSRW;0.03;No llamar
2252-JHJGE;0.19;No llamar
7356-AYNJP;0.15;No llamar
2019-HDCZY;0.14;No llamar
8582-KRHPJ;0.10;No llamar
2867-UIMSS;0.82;Llamar
3487-EARAT;0.01;No llamar
9926-PJHDQ;0.03;No llamar
0289-IVARM;0.10;No llamar
4672-FOTSD;0.22;No llamar
6198-PNNSZ;0.14;No llamar
7603-USHJS;0.50;No llamar
6784-XYJAE;0.11;No llamar
3858-XHYJO;0.20;No llamar
1087-UDSIH;0.21;No llamar
7251-LJBQN;0.29;No llamar
3200-MNQTF;0.01;No llamar
9359-UGBTK;0.02;No llamar
8160-HOWOX;0.53;No llamar
0258-NOKBL;0.66;Ofrecer Descuento
2800-QQUSO;0.51;No llamar
2129-ALKBS;0.10;No llamar
9972-VAFJJ;0.18;No llamar
4693-VWVBO;0.21;No llamar
6969-MVBAI;0.74;Ofrecer Descuento
4821-WQOYN;0.00;No llamar
6769-DYBQN;0.26;No llamar
4018-PPNDW;0.01;No llamar
6288-CHQJB;0.01;No llamar
4905-JEFDW;0.36;No llamar
0559-CKHUS;0.02;No llamar
2659-VXMWZ;0.18;No llamar
6559-RAKOZ;0.26;No llamar
8809-XKHMD;0.04;No llamar
6365-HITVU;0.01;No llamar
0134-XWXCE;0.07;No llamar
9720-JJJOR;0.03;No llamar
2782-LFZVW;0.46;No llamar
6112-KTHFQ;0.14;No llamar
9220-ZNKJI;0.05;No llamar
9820-RMCQV;0.16;No llamar
9013-AQORL;0.11;No llamar
2040-OBMLJ;0.13;No llamar
5574-NXZIU;0.03;No llamar
5446-DKWYW;0.10;No llamar
0480-KYJVA;0.00;No llamar
1074-AMIOH;0.20;No llamar
0015-UOCOJ;0.34;No llamar
0256-LTHVJ;0.45;No llamar
4547-LYTDD;0.50;No llamar
1077-HUUJM;0.56;No llamar
2041-JIJCI;0.49;No llamar
1555-HAPSU;0.00;No llamar
4323-SADQS;0.29;No llamar
3292-PBZEJ;0.71;Ofrecer Descuento
6203-HBZPA;0.02;No llamar
9755-JHNMN;0.01;No llamar
7369-TRPFD;0.05;No llamar
9878-TNQGW;0.78;Ofrecer Descuento
2279-AXJJK;0.26;No llamar
5016-IBERQ;0.43;No llamar
1016-DJTSV;0.61;Ofrecer Descuento
8433-WPJTV;0.18;No llamar
8903-XEBGX;0.55;No llamar
2632-TACXW;0.01;No llamar
7952-OBOYL;0.67;Ofrecer Descuento
1470-PSXNM;0.25;No llamar
6227-HWPWX;0.31;No llamar
5924-SNGKP;0.02;No llamar
8818-DOPVL;0.57;No llamar
4521-WFJAI;0.01;No llamar
4724-WXVWF;0.33;No llamar
3717-OEAUQ;0.61;Ofrecer Descuento
8165-ZJRNM;0.00;No llamar
7838-LAZFO;0.05;No llamar
0513-RBGPE;0.02;No llamar
7251-XFOIL;0.25;No llamar
2525-GVKQU;0.01;No llamar
7579-OOPEC;0.30;No llamar
3795-GWTRD;0.01;No llamar
4750-ZRXIU;0.80;Ofrecer Descuento
5445-PZWGX;0.09;No llamar
0516-UXRMT;0.12;No llamar
0727-BNRLG;0.06;No llamar
3932-CMDTD;0.48;No llamar
1264-FUHCX;0.09;No llamar
6194-HBGQN;0.05;No llamar
4524-QCSSM;0.24;No llamar
4570-QHXHL;0.36;No llamar
2972-YDYUW;0.13;No llamar
2061-VVFST;0.05;No llamar
6874-SGLHU;0.24;No llamar
9844-FELAJ;0.21;No llamar
1902-XBTFB;0.43;No llamar
9039-RBEEE;0.13;No llamar
9369-XFEHK;0.40;No llamar
3680-CTHUH;0.13;No llamar
3679-XASPY;0.22;No llamar
9089-UOWJG;0.26;No llamar
1574-DYCWE;0.01;No llamar
9779-DPNEJ;0.48;No llamar
2967-MXRAV;0.09;No llamar
0327-WFZSY;0.31;No llamar
1731-TVIUK;0.73;Ofrecer Descuento
7666-WKRON;0.08;No llamar
3865-ZYKAD;0.17;No llamar
1465-LNTLJ;0.29;No llamar
2696-RZVZW;0.01;No llamar
0685-MLYYM;0.65;Ofrecer Descuento
2778-OCLGR;0.24;No llamar
3982-XWFZQ;0.22;No llamar
4759-PXTAN;0.11;No llamar
1448-PWKYE;0.79;Ofrecer Descuento
8741-LQOBK;0.06;No llamar
8650-RHRKE;0.58;No llamar
7266-GSSJX;0.17;No llamar
1265-HVPZB;0.03;No llamar
9640-ZSLDC;0.04;No llamar
0988-JRWWP;0.59;No llamar
1926-QUZNN;0.01;No llamar
9025-ZRPVR;0.17;No llamar
6527-PZFPV;0.04;No llamar
7460-ITWWP;0.44;No llamar
1530-ZTDOZ;0.10;No llamar
4785-FCIFB;0.01;No llamar
9717-QEBGU;0.73;Ofrecer Descuento
0876-WDUUZ;0.53;No llamar
7881-EVUAD;0.63;Ofrecer Descuento
4002-BQWPQ;0.12;No llamar
6377-WHAOX;0.47;No llamar
5027-YOCXN;0.09;No llamar
8450-JOVAH;0.31;No llamar
6646-QVXLR;0.34;No llamar
0254-KCJGT;0.04;No llamar
3442-ZHHCC;0.04;No llamar
9167-APMXZ;0.55;No llamar
0616-ATFGB;0.62;Ofrecer Descuento
7273-TEFQD;0.69;Ofrecer Descuento
8245-UMPYT;0.73;Ofrecer Descuento
6022-UGGSO;0.42;No llamar
6292-TOSSS;0.01;No llamar
5207-PLSTK;0.38;No llamar
3908-BLSYF;0.61;Ofrecer Descuento
4317-VTEOA;0.56;No llamar
0625-AFOHS;0.01;No llamar
4667-OHGKG;0.26;No llamar
2386-OWURY;0.30;No llamar
3780-DDGSE;0.21;No llamar
1047-RNXZV;0.01;No llamar
3926-YZVVX;0.03;No llamar
4742-TXUEX;0.01;No llamar
8709-KRDVL;0.59;No llamar
0397-ZXWQF;0.00;No llamar
3910-MRQOY;0.00;No llamar
2511-MORQY;0.05;No llamar
4039-PIMHX;0.02;No llamar
8083-YTZES;0.78;Ofrecer Descuento
1346-PJWTK;0.13;No llamar
3750-YHRYO;0.06;No llamar
1236-WFCDV;0.51;No llamar
5949-HGVJL;0.27;No llamar
9112-WSNPU;0.33;No llamar
1360-JYXKQ;0.24;No llamar
3585-ISXZP;0.62;Ofrecer Descuento
8380-PEFPE;0.77;Ofrecer Descuento
9402-ROUMJ;0.08;No llamar
4335-UPJSI;0.01;No llamar
6096-EGVTU;0.01;No llamar
8988-ECPJR;0.35;No llamar
7677-SJJJK;0.05;No llamar
5850-BDWCY;0.13;No llamar
2025-JKFWI;0.60;No llamar
8028-PNXHQ;0.01;No llamar
8397-MVTAZ;0.63;Ofrecer Descuento
4445-ZJNMU;0.65;Ofrecer Descuento
3125-RAHBV;0.04;No llamar
6682-QJDGB;0.07;No llamar
8840-DQLGN;0.28;No llamar
6258-NGCNG;0.18;No llamar
5917-RYRMG;0.03;No llamar
7157-SMCFK;0.00;No llamar
0816-TSPHQ;0.17;No llamar
6766-HFKLA;0.09;No llamar
7067-KSAZT;0.31;No llamar
5155-AZQPB;0.15;No llamar
6890-PFRQX;0.23;No llamar
3508-VLHCZ;0.02;No llamar
3649-JPUGY;0.03;No llamar
9248-OJYKK;0.88;Llamar
7239-HZZCX;0.20;No llamar
9860-LISIZ;0.05;No llamar
6979-ZNSFF;0.67;Ofrecer Descuento
8938-UMKPI;0.51;No llamar
1820-DJFPH;0.01;No llamar
0732-OCQOC;0.01;No llamar
6776-TLWOI;0.16;No llamar
4940-KHCWD;0.01;No llamar
9057-SIHCH;0.86;Llamar
9866-QEVEE;0.60;No llamar
5542-TBBWB;0.81;Llamar
4587-VVTOX;0.85;Llamar
6322-HRPFA;0.03;No llamar
6284-AHOOQ;0.52;No llamar
4530-NDRKU;0.03;No llamar
1751-NCDLI;0.62;Ofrecer Descuento
3893-JRNFS;0.12;No llamar
5857-XRECV;0.07;No llamar
3115-CZMZD;0,00000274;Llamar
4489-SNOJF;0.13;No llamar
1051-GEJLJ;0.19;No llamar
3563-SVYLG;0.00;No llamar
4301-VVZKA;0.62;Ofrecer Descuento
9351-HXDMR;0.06;No llamar
5161-XEUVX;0.09;No llamar
3088-FVYWK;0.01;No llamar
9812-GHVRI;0.32;No llamar
1370-GGAWX;0.28;No llamar
6023-YEBUP;0.84;Llamar
9940-RHLFB;0.75;Ofrecer Descuento
4541-RMRLG;0.19;No llamar
2606-RMDHZ;0.38;No llamar
5575-TPIZQ;0.29;No llamar
9378-FXTIZ;0.12;No llamar
4631-OACRM;0.64;Ofrecer Descuento
8593-WHYHV;0.81;Llamar
1403-GYAFU;0.00;No llamar
7641-TQFHN;0.09;No llamar
4237-CLSMM;0.18;No llamar
4360-PNRQB;0.48;No llamar
5334-AFQJB;0.01;No llamar
9308-ANMVE;0.07;No llamar
3530-VWVGU;0.07;No llamar
4674-HGNUA;0.01;No llamar
3030-YDNRM;0.70;Ofrecer Descuento
3642-BYHDO;0.00;No llamar
0440-UEDAI;0.10;No llamar
9819-FBNSV;0.34;No llamar
9289-LBQVU;0.05;No llamar
4468-YDOVK;0.24;No llamar
2001-EWBQU;0.12;No llamar
9992-UJOEL;0.42;No llamar
8409-WQJUX;0.19;No llamar
3077-RSNTJ;0.12;No llamar
6993-YCOBK;0.09;No llamar
4817-VYYWS;0.61;Ofrecer Descuento
4702-HDRKD;0.04;No llamar
3251-YMVWZ;0.02;No llamar
4190-MFLUW;0.14;No llamar
4678-DVQEO;0.50;No llamar
4701-AHWMW;0.19;No llamar
2987-BJXIK;0.02;No llamar
1730-VFMWO;0.08;No llamar
1936-UAFEH;0.04;No llamar
5140-FOMCQ;0.17;No llamar
8778-LMWTJ;0.45;No llamar
9840-DVNDC;0.61;Ofrecer Descuento
8033-VCZGH;0.30;No llamar
8580-QVLOC;0.01;No llamar
6128-AQBMT;0.41;No llamar
6257-RJOHI;0.29;No llamar
1929-ZCBHE;0.04;No llamar
6242-SGYTS;0.10;No llamar
7010-ZMVBF;0.08;No llamar
3519-ZKXGG;0.73;Ofrecer Descuento
5666-MBJPT;0.01;No llamar
3313-QKNKB;0.19;No llamar
7581-EBBOU;0.03;No llamar
1784-BXEFA;0.17;No llamar
7492-TAFJD;0.06;No llamar
5213-TWWJU;0.31;No llamar
3312-ZWLGF;0.46;No llamar
2923-ARZLG;0,00000088;Llamar
7032-LMBHI;0.07;No llamar
8292-ITGYJ;0.01;No llamar
9107-UKCKY;0.14;No llamar
6848-HJTXY;0.00;No llamar
4184-VODJZ;0.18;No llamar
4846-WHAFZ;0.49;No llamar
8735-SDUFN;0.01;No llamar
0839-JTCUD;0.01;No llamar
6857-VWJDT;0.88;Llamar
7363-QTBIW;0.61;Ofrecer Descuento
6158-HDPXZ;0.49;No llamar
5419-CONWX;0.65;Ofrecer Descuento
9286-DOJGF;0.40;No llamar
2408-PSJVE;0.06;No llamar
2087-QAREY;0.20;No llamar
6777-TGHTM;0.19;No llamar
6507-ZJSUR;0.63;Ofrecer Descuento
5025-GOOKI;0.12;No llamar
6080-LNESI;0.01;No llamar
2236-HILPA;0.00;No llamar
1386-ZIKUV;0.19;No llamar
3365-SAIGS;0.57;No llamar
6061-GWWAV;0.03;No llamar
9979-RGMZT;0.47;No llamar
8445-DNBAE;0.63;Ofrecer Descuento
6872-HXFNF;0.03;No llamar
1320-HTRDR;0.77;Ofrecer Descuento
3923-CSIHK;0.33;No llamar
2446-ZKVAF;0.19;No llamar
4640-UHDOS;0.27;No llamar
5457-COLHT;0.01;No llamar
2254-DLXRI;0.81;Llamar
5339-PXDVH;0.64;Ofrecer Descuento
2386-LAHRK;0.60;No llamar
5062-CJJKH;0.06;No llamar
8930-XOTDP;0.16;No llamar
4779-ZGICK;0.01;No llamar
9534-NSXEM;0.04;No llamar
3716-BDVDB;0.81;Llamar
9842-EFSYY;0.48;No llamar
9122-UMROB;0.20;No llamar
1867-BDVFH;0.59;No llamar
5949-EBSQK;0.25;No llamar
4160-AMJTL;0.19;No llamar
8622-ZLFKO;0.76;Ofrecer Descuento
